,mid,premiership,att,win_loc,season,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,home_team,away_team,home_odds,away_odds,date
41,2009_R18_115_116,0,27805,0,2009,50,52,-15.0,35.0,-2.0,17.0,-26.0,Sydney,St Kilda,5.43,1.13,2009-08-01
42,2009_R18_111_114,0,37438,0,2009,12,46,8.0,-80.0,-22.0,-49.0,18.0,Melbourne,Richmond,3.7,1.26,2009-08-02
43,2009_R18_110_113,0,25154,1,2009,28,68,30.0,-15.0,5.0,-34.0,96.0,Port Adelaide,Hawthorn,2.63,1.45,2009-08-02
44,2009_R18_105_117,0,35765,1,2009,16,32,10.0,-22.0,8.0,-1.0,21.0,West Coast,Essendon,2.79,1.41,2009-08-02
45,2009_R19_103_107,0,55057,1,2009,40,84,-56.0,-78.0,-65.0,-70.0,-57.0,Carlton,Geelong,3.15,1.35,2009-08-07
46,2009_R19_117_118,0,22417,0,2009,62,16,-33.0,60.0,-87.0,-15.0,-74.0,Western Bulldogs,West Coast,1.06,8.38,2009-08-08
47,2009_R19_110_115,0,20011,0,2009,68,52,54.0,-30.0,-17.0,28.0,-70.0,Hawthorn,St Kilda,1.52,2.45,2009-08-08
48,2009_R19_101_104,0,45128,0,2009,52,48,4.0,-31.0,-32.0,19.0,-24.0,Adelaide,Collingwood,1.84,1.87,2009-08-08
49,2009_R19_111_112,0,16594,1,2009,50,12,34.0,28.0,48.0,64.0,1.0,North Melbourne,Melbourne,1.34,3.17,2009-08-09
50,2009_R19_114_116,0,32216,0,2009,46,50,-19.0,-82.0,-66.0,-16.0,-48.0,Richmond,Sydney,1.79,1.92,2009-08-09
51,2009_R19_106_113,0,30029,1,2009,24,28,-24.0,28.0,-28.0,-32.0,-16.0,Fremantle,Port Adelaide,2.48,1.5,2009-08-09
52,2009_R20_101_110,0,32583,0,2009,68,52,-27.0,4.0,44.0,3.0,-71.0,Hawthorn,Adelaide,2.14,1.67,2009-08-14
53,2009_R20_104_114,0,63366,0,2009,46,48,-44.0,20.0,-25.0,47.0,35.0,Richmond,Collingwood,6.44,1.1,2009-08-15
54,2009_R20_112_117,0,32472,1,2009,16,50,-6.0,17.0,66.0,26.0,24.0,West Coast,North Melbourne,1.37,2.93,2009-08-15
55,2009_R20_107_116,0,40261,0,2009,50,84,-51.0,-39.0,-42.0,-18.0,-27.0,Sydney,Geelong,2.61,1.45,2009-08-15
56,2009_R20_106_111,0,13004,1,2009,12,24,-46.0,6.0,-59.0,-45.0,-28.0,Melbourne,Fremantle,2.18,1.63,2009-08-16
57,2009_R20_103_113,0,27221,0,2009,28,40,-66.0,-12.0,23.0,-39.0,34.0,Port Adelaide,Carlton,1.91,1.8,2009-08-16
58,2009_R20_105_115,0,41410,1,2009,32,52,-19.0,-108.0,-36.0,31.0,-3.0,Essendon,St Kilda,5.5,1.13,2009-08-16
59,2009_R21_107_118,0,46818,1,2009,62,84,-2.0,-29.0,-61.0,-75.0,20.0,Western Bulldogs,Geelong,2.24,1.61,2009-08-21
60,2009_R21_103_111,0,37433,1,2009,40,12,33.0,-31.0,-23.0,7.0,21.0,Carlton,Melbourne,1.07,7.63,2009-08-22
61,2009_R21_101_117,0,39640,1,2009,52,16,-50.0,76.0,-21.0,-10.0,-82.0,Adelaide,West Coast,1.16,4.9,2009-08-22
62,2009_R21_110_114,0,34779,0,2009,46,68,29.0,-12.0,-53.0,-41.0,4.0,Richmond,Hawthorn,3.03,1.36,2009-08-22
63,2009_R21_112_115,0,30522,0,2009,52,50,46.0,15.0,-22.0,17.0,23.0,St Kilda,North Melbourne,1.06,8.6,2009-08-23
64,2009_R21_104_116,0,54400,1,2009,48,50,23.0,45.0,29.0,38.0,25.0,Collingwood,Sydney,1.2,4.36,2009-08-23
