,mid,premiership,att,win_loc,season,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,home_team,away_team,home_odds,away_odds,date
179,2010_R15_101_117,0,26976,0,2010,32,56,-74.0,50.0,-76.0,21.0,10.0,West Coast,Adelaide,2.63,1.46,2010-07-10
180,2010_R15_107_110,0,69220,1,2010,72,36,9.0,1.0,8.0,-26.0,11.0,Geelong,Hawthorn,1.33,3.18,2010-07-10
181,2010_R15_106_114,0,25707,1,2010,22,24,-39.0,3.0,7.0,64.0,-21.0,Richmond,Fremantle,2.61,1.46,2010-07-10
182,2010_R15_112_116,0,23856,1,2010,32,30,40.0,15.0,35.0,0.0,-16.0,Sydney,North Melbourne,1.42,2.78,2010-07-11
183,2010_R15_105_111,0,49203,1,2010,16,42,-48.0,-16.0,-2.0,36.0,10.0,Melbourne,Essendon,1.89,1.86,2010-07-11
184,2010_R15_103_118,0,37517,0,2010,52,60,43.0,28.0,10.0,-30.0,-46.0,Carlton,Western Bulldogs,2.5,1.5,2010-07-11
185,2010_R16_101_107,0,41195,1,2010,56,72,-2.0,-48.0,-68.0,-33.0,-7.0,Adelaide,Geelong,3.5,1.29,2010-07-16
186,2010_R16_104_115,0,81386,1,2010,60,80,-28.0,-28.0,-88.0,-34.0,14.0,Collingwood,St Kilda,2.05,1.71,2010-07-17
187,2010_R16_105_117,0,26991,0,2010,42,32,-23.0,-27.0,-10.0,22.0,-8.0,Essendon,West Coast,1.4,2.85,2010-07-17
188,2010_R16_113_118,0,11080,1,2010,60,36,93.0,54.0,20.0,-14.0,76.0,Western Bulldogs,Port Adelaide,1.15,5.08,2010-07-17
189,2010_R16_103_116,0,31915,0,2010,52,32,61.0,-17.0,-2.0,-62.0,-92.0,Carlton,Sydney,1.57,2.31,2010-07-18
190,2010_R16_112_114,0,42723,0,2010,22,30,0.0,36.0,-41.0,-25.0,35.0,Richmond,North Melbourne,1.74,2.01,2010-07-18
191,2010_R16_106_111,0,32816,1,2010,24,16,-63.0,46.0,-6.0,59.0,45.0,Fremantle,Melbourne,1.2,4.33,2010-07-18
192,2010_R17_110_115,0,49373,0,2010,80,36,25.0,-54.0,30.0,17.0,-28.0,St Kilda,Hawthorn,1.72,2.04,2010-07-23
193,2010_R17_104_114,0,66727,1,2010,60,22,93.0,44.0,-20.0,25.0,-47.0,Collingwood,Richmond,1.1,6.5,2010-07-24
194,2010_R17_103_117,0,35925,0,2010,32,52,-29.0,-41.0,-37.0,61.0,10.0,West Coast,Carlton,1.84,1.88,2010-07-24
195,2010_R17_105_112,0,30330,0,2010,30,42,12.0,-55.0,22.0,7.0,42.0,North Melbourne,Essendon,1.43,2.73,2010-07-24
196,2010_R17_106_118,0,26797,1,2010,60,24,31.0,63.0,3.0,26.0,14.0,Western Bulldogs,Fremantle,1.3,3.43,2010-07-25
197,2010_R17_111_116,0,29374,1,2010,16,32,-18.0,-40.0,-48.0,-49.0,-32.0,Melbourne,Sydney,2.28,1.59,2010-07-25
198,2010_R17_101_113,0,36788,1,2010,36,56,23.0,-70.0,26.0,12.0,-6.0,Port Adelaide,Adelaide,3.36,1.3,2010-07-25
199,2010_R18_105_115,0,37165,1,2010,42,80,12.0,2.0,-19.0,-108.0,-36.0,Essendon,St Kilda,4.74,1.17,2010-07-30
200,2010_R18_103_104,0,76980,1,2010,60,52,53.0,54.0,-51.0,-30.0,-23.0,Collingwood,Carlton,1.19,4.48,2010-07-31
201,2010_R18_110_113,0,22340,1,2010,36,36,-11.0,18.0,30.0,-15.0,5.0,Port Adelaide,Hawthorn,3.14,1.33,2010-07-31
202,2010_R18_107_116,0,30710,0,2010,32,72,-67.0,-5.0,-51.0,-39.0,-42.0,Sydney,Geelong,4.07,1.23,2010-07-31
203,2010_R18_101_114,0,19226,1,2010,22,56,-50.0,-17.0,-63.0,-50.0,-9.0,Richmond,Adelaide,2.25,1.61,2010-08-01
204,2010_R18_112_118,0,28038,1,2010,60,30,70.0,22.0,15.0,-20.0,-3.0,Western Bulldogs,North Melbourne,1.16,5.02,2010-08-01
205,2010_R18_106_117,0,40451,1,2010,24,32,38.0,5.0,13.0,33.0,14.0,Fremantle,West Coast,1.39,2.91,2010-08-01
206,2010_R19_103_105,0,57095,0,2010,42,52,20.0,69.0,4.0,35.0,16.0,Essendon,Carlton,1.91,1.81,2010-08-06
207,2010_R19_110_116,0,29431,1,2010,32,36,-2.0,-11.0,38.0,-31.0,72.0,Sydney,Hawthorn,2.01,1.74,2010-08-07
208,2010_R19_106_112,0,14891,1,2010,30,24,-61.0,13.0,-53.0,4.0,-35.0,North Melbourne,Fremantle,1.83,1.9,2010-08-07
209,2010_R19_104_107,0,84401,0,2010,72,60,36.0,73.0,27.0,-86.0,5.0,Geelong,Collingwood,1.76,1.99,2010-08-07
210,2010_R19_113_115,0,22467,1,2010,80,36,-10.0,66.0,8.0,-21.0,-53.0,St Kilda,Port Adelaide,1.2,4.4,2010-08-08
211,2010_R19_111_114,0,45844,1,2010,16,22,55.0,-4.0,8.0,-80.0,-22.0,Melbourne,Richmond,1.52,2.47,2010-08-08
212,2010_R19_101_118,0,29321,0,2010,56,60,-49.0,-32.0,9.0,-3.0,34.0,Adelaide,Western Bulldogs,3.21,1.33,2010-08-08
213,2010_R20_104_105,0,59277,0,2010,42,60,-65.0,-35.0,5.0,48.0,-73.0,Essendon,Collingwood,6.64,1.1,2010-08-13
214,2010_R20_106_116,0,34087,0,2010,24,32,37.0,21.0,-4.0,-28.0,-35.0,Fremantle,Sydney,1.62,2.23,2010-08-14
215,2010_R20_103_114,0,44716,1,2010,52,22,56.0,20.0,83.0,30.0,-30.0,Carlton,Richmond,1.3,3.42,2010-08-14
216,2010_R20_113_117,0,14113,1,2010,36,32,3.0,36.0,-50.0,24.0,3.0,Port Adelaide,West Coast,1.33,3.25,2010-08-14
217,2010_R20_107_118,0,42199,0,2010,60,72,-14.0,14.0,-2.0,-29.0,-61.0,Western Bulldogs,Geelong,2.38,1.56,2010-08-14
218,2010_R20_110_111,0,48211,1,2010,36,16,56.0,22.0,19.0,104.0,22.0,Hawthorn,Melbourne,1.63,2.22,2010-08-15
219,2010_R20_112_115,0,23118,0,2010,30,80,-104.0,5.0,-46.0,-15.0,22.0,North Melbourne,St Kilda,3.98,1.24,2010-08-15
220,2010_R21_103_107,0,45172,1,2010,72,52,-36.0,-35.0,56.0,78.0,65.0,Geelong,Carlton,1.17,4.82,2010-08-20
221,2010_R21_114_115,0,33944,1,2010,80,22,38.0,56.0,3.0,10.0,17.0,St Kilda,Richmond,1.08,7.7,2010-08-21
222,2010_R21_106_110,0,15532,1,2010,36,24,22.0,15.0,-16.0,-53.0,22.0,Hawthorn,Fremantle,1.09,7.25,2010-08-21
223,2010_R21_101_104,0,42159,1,2010,60,56,5.0,21.0,-4.0,31.0,32.0,Collingwood,Adelaide,1.05,9.75,2010-08-21
224,2010_R21_116_118,0,36554,1,2010,32,60,-38.0,-40.0,-37.0,-16.0,-18.0,Sydney,Western Bulldogs,2.05,1.72,2010-08-21
225,2010_R21_111_113,0,21086,1,2010,36,16,-1.0,-11.0,57.0,78.0,89.0,Port Adelaide,Melbourne,1.92,1.81,2010-08-22
226,2010_R21_112_117,0,32007,0,2010,32,30,-25.0,38.0,-6.0,17.0,66.0,West Coast,North Melbourne,2.25,1.61,2010-08-22
227,2010_R22_103_106,0,39376,1,2010,24,52,9.0,-15.0,7.0,-9.0,77.0,Fremantle,Carlton,1.53,2.4,2010-08-27
228,2010_R22_107_117,0,24099,1,2010,72,32,24.0,22.0,99.0,135.0,39.0,Geelong,West Coast,1.02,14.5,2010-08-28
229,2010_R22_104_110,0,76218,1,2010,36,60,-64.0,45.0,54.0,65.0,8.0,Hawthorn,Collingwood,2.5,1.5,2010-08-28
230,2010_R22_101_115,0,38121,1,2010,56,80,-47.0,-57.0,-32.0,-48.0,-2.0,Adelaide,St Kilda,2.53,1.49,2010-08-28
231,2010_R22_105_118,0,26776,1,2010,60,42,-9.0,33.0,46.0,30.0,33.0,Western Bulldogs,Essendon,1.18,4.61,2010-08-28
232,2010_R22_113_114,0,37674,0,2010,22,36,47.0,-3.0,4.0,-55.0,-40.0,Richmond,Port Adelaide,1.62,2.22,2010-08-29
233,2010_R22_111_112,0,31064,0,2010,16,30,-26.0,-62.0,-34.0,-28.0,-48.0,Melbourne,North Melbourne,1.87,1.86,2010-08-29
234,2010_QF_107_115,1,63608,0,2010,72,80,-24.0,12.0,-6.0,58.0,42.0,Geelong,St Kilda,1.37,3.05,2010-09-03
235,2010_EF_106_110,1,42719,1,2010,24,36,-116.0,-22.0,-15.0,16.0,53.0,Fremantle,Hawthorn,2.16,1.66,2010-09-04
236,2010_QF_104_118,1,66545,1,2010,60,60,10.0,36.0,-24.0,1.0,-10.0,Collingwood,Western Bulldogs,1.24,3.91,2010-09-04
237,2010_EF_103_116,1,41596,1,2010,32,52,39.0,-61.0,17.0,2.0,62.0,Sydney,Carlton,1.45,2.65,2010-09-05
238,2010_SF_106_107,1,45056,1,2010,72,24,-7.0,40.0,19.0,74.0,1.0,Geelong,Fremantle,1.1,6.54,2010-09-10
239,2010_SF_116_118,1,39596,1,2010,60,32,-44.0,38.0,40.0,37.0,16.0,Western Bulldogs,Sydney,1.89,1.86,2010-09-11
240,2010_PF_104_107,1,95241,1,2010,60,72,22.0,-36.0,-73.0,-27.0,86.0,Collingwood,Geelong,1.79,1.94,2010-09-17
241,2010_PF_115_118,1,62694,1,2010,80,60,3.0,7.0,45.0,28.0,-27.0,St Kilda,Western Bulldogs,1.19,4.42,2010-09-18
242,2010_GF_104_115,1,100016,0,2010,60,80,48.0,-28.0,-28.0,-88.0,-34.0,Collingwood,St Kilda,1.41,2.88,2010-09-25
243,2010_GFR_104_115,1,93853,1,2010,60,80,0.0,48.0,-28.0,-28.0,-88.0,Collingwood,St Kilda,1.59,2.33,2010-10-02
244,2011_R01_103_114,0,60654,1,2011,44,24,89.0,56.0,20.0,83.0,30.0,Carlton,Richmond,1.29,3.51,2011-03-24
245,2011_R01_107_115,0,42869,1,2011,68,62,-4.0,-24.0,12.0,-6.0,58.0,Geelong,St Kilda,2.18,1.68,2011-03-25
246,2011_R01_104_113,0,35773,1,2011,70,40,26.0,38.0,31.0,-18.0,2.0,Collingwood,Port Adelaide,1.08,7.99,2011-03-26
247,2011_R01_101_110,0,42536,1,2011,36,50,-47.0,27.0,27.0,-4.0,-44.0,Adelaide,Hawthorn,1.92,1.85,2011-03-26
248,2011_R01_105_118,0,42617,1,2011,28,56,-29.0,9.0,-33.0,-46.0,-30.0,Essendon,Western Bulldogs,2.31,1.59,2011-03-27
249,2011_R01_111_116,0,33951,0,2011,34,52,73.0,-18.0,-40.0,-48.0,-49.0,Melbourne,Sydney,1.78,1.99,2011-03-27
250,2011_R01_112_117,0,35878,1,2011,16,44,-16.0,-25.0,38.0,-6.0,17.0,West Coast,North Melbourne,1.61,2.27,2011-03-27
251,2011_R02_114_115,0,41465,0,2011,62,24,21.0,38.0,56.0,3.0,10.0,St Kilda,Richmond,1.23,4.15,2011-04-01
252,2011_R02_104_112,0,40578,0,2011,44,70,-66.0,-52.0,18.0,7.0,-3.0,North Melbourne,Collingwood,6.7,1.1,2011-04-02
253,2011_R02_113_117,0,23214,0,2011,40,16,1.0,3.0,36.0,-50.0,24.0,Port Adelaide,West Coast,1.45,2.72,2011-04-02
254,2011_R02_106_107,0,37004,0,2011,52,68,-69.0,7.0,-40.0,-19.0,-74.0,Fremantle,Geelong,1.67,2.15,2011-04-02
255,2011_R02_103_108,0,27914,0,2011,12,44,0.0,0.0,0.0,0.0,0.0,Gold Coast,Carlton,3.96,1.25,2011-04-02
256,2011_R02_105_116,0,28082,1,2011,52,28,9.0,-35.0,91.0,-1.0,43.0,Sydney,Essendon,1.8,1.97,2011-04-03
257,2011_R02_110_111,0,49905,1,2011,50,34,21.0,56.0,22.0,19.0,104.0,Hawthorn,Melbourne,1.41,2.83,2011-04-03
258,2011_R03_103_104,0,88181,1,2011,70,44,48.0,53.0,54.0,-51.0,-30.0,Collingwood,Carlton,1.22,4.32,2011-04-08
259,2011_R03_108_118,0,21373,1,2011,56,12,0.0,0.0,0.0,0.0,0.0,Western Bulldogs,Gold Coast,1.02,14.29,2011-04-09
260,2011_R03_101_106,0,33414,0,2011,36,52,23.0,-56.0,117.0,24.0,17.0,Adelaide,Fremantle,1.49,2.6,2011-04-09
261,2011_R03_116_117,0,37288,0,2011,16,52,-52.0,-5.0,-5.0,-62.0,12.0,West Coast,Sydney,1.9,1.86,2011-04-09
262,2011_R03_110_114,0,46368,0,2011,24,50,-3.0,-42.0,29.0,-12.0,-53.0,Richmond,Hawthorn,3.72,1.27,2011-04-09
263,2011_R03_107_113,0,22420,1,2011,68,40,95.0,34.0,59.0,9.0,119.0,Geelong,Port Adelaide,1.07,7.96,2011-04-10
264,2011_R03_105_115,0,47762,0,2011,62,28,-33.0,-12.0,-2.0,19.0,108.0,St Kilda,Essendon,1.81,1.95,2011-04-10
265,2011_R04_104_114,0,58050,0,2011,24,70,-82.0,-93.0,-44.0,20.0,-25.0,Richmond,Collingwood,9.79,1.05,2011-04-15
266,2011_R04_110_117,0,15063,1,2011,50,16,-8.0,-20.0,18.0,71.0,57.0,Hawthorn,West Coast,1.11,6.27,2011-04-16
267,2011_R04_103_105,0,78065,0,2011,44,28,76.0,-20.0,-69.0,-4.0,-35.0,Carlton,Essendon,1.89,1.86,2011-04-16
268,2011_R04_101_113,0,33143,1,2011,40,36,19.0,23.0,-70.0,26.0,12.0,Port Adelaide,Adelaide,2.78,1.42,2011-04-16
269,2011_R04_107_116,0,25300,0,2011,52,68,-53.0,-67.0,-5.0,-51.0,-39.0,Sydney,Geelong,2.07,1.72,2011-04-16
270,2011_R04_108_111,0,12111,0,2011,12,34,0.0,0.0,0.0,0.0,0.0,Gold Coast,Melbourne,8.79,1.07,2011-04-17
271,2011_R04_106_112,0,34779,1,2011,52,44,-54.0,61.0,-13.0,53.0,-4.0,Fremantle,North Melbourne,1.18,4.82,2011-04-17
272,2011_R05_108_113,0,21287,0,2011,40,12,0.0,0.0,0.0,0.0,0.0,Port Adelaide,Gold Coast,1.05,10.58,2011-04-23
273,2011_R05_101_103,0,37607,1,2011,44,36,48.0,-72.0,-44.0,-8.0,-30.0,Carlton,Adelaide,1.28,3.68,2011-04-23
274,2011_R05_112_114,0,36461,0,2011,44,24,50.0,0.0,-36.0,41.0,25.0,North Melbourne,Richmond,1.82,1.94,2011-04-24
275,2011_R05_104_105,0,89626,0,2011,28,70,-98.0,-65.0,-35.0,5.0,48.0,Essendon,Collingwood,4.26,1.22,2011-04-25
276,2011_R05_106_118,0,37551,1,2011,52,56,-82.0,-31.0,-63.0,-3.0,-26.0,Fremantle,Western Bulldogs,1.67,2.15,2011-04-25
277,2011_R05_107_110,0,78579,0,2011,50,68,-2.0,-9.0,-1.0,-8.0,26.0,Hawthorn,Geelong,2.02,1.75,2011-04-26
278,2011_R06_111_117,0,36298,1,2011,16,34,29.0,-20.0,8.0,-34.0,77.0,West Coast,Melbourne,1.56,2.41,2011-04-28
279,2011_R06_103_116,0,28081,0,2011,52,44,5.0,39.0,-61.0,17.0,2.0,Sydney,Carlton,1.66,2.19,2011-04-29
280,2011_R06_112_113,0,16014,1,2011,44,40,36.0,-14.0,4.0,5.0,-76.0,North Melbourne,Port Adelaide,1.45,2.72,2011-04-30
281,2011_R06_101_115,0,33854,1,2011,36,62,28.0,-47.0,-57.0,-32.0,-48.0,Adelaide,St Kilda,1.76,2.01,2011-04-30
282,2011_R06_105_108,0,33710,1,2011,28,12,0.0,0.0,0.0,0.0,0.0,Essendon,Gold Coast,1.03,12.75,2011-05-01
283,2011_R06_104_118,0,53776,1,2011,70,56,62.0,10.0,36.0,-24.0,1.0,Collingwood,Western Bulldogs,1.12,6.13,2011-05-01
284,2011_R07_110_113,0,21819,0,2011,40,50,8.0,-11.0,18.0,30.0,-15.0,Port Adelaide,Hawthorn,4.45,1.2,2011-05-06
285,2011_R07_116_118,0,10184,0,2011,56,52,5.0,-44.0,38.0,40.0,37.0,Western Bulldogs,Sydney,1.69,2.12,2011-05-07
286,2011_R07_107_112,0,23669,1,2011,68,44,35.0,70.0,33.0,13.0,106.0,Geelong,North Melbourne,1.07,8.35,2011-05-07
287,2011_R07_106_114,0,34090,1,2011,24,52,19.0,-39.0,3.0,7.0,64.0,Richmond,Fremantle,2.2,1.64,2011-05-07
288,2011_R07_105_117,0,33631,1,2011,28,16,-32.0,-23.0,-27.0,-10.0,22.0,Essendon,West Coast,1.2,4.4,2011-05-08
289,2011_R07_101_111,0,19987,1,2011,34,36,-44.0,16.0,-17.0,-76.0,17.0,Melbourne,Adelaide,1.81,1.96,2011-05-08
290,2011_R07_103_115,0,41576,0,2011,62,44,-61.0,9.0,32.0,40.0,10.0,St Kilda,Carlton,2.84,1.41,2011-05-09
291,2011_R08_104_107,0,81691,1,2011,68,70,-41.0,-22.0,36.0,73.0,27.0,Geelong,Collingwood,2.62,1.48,2011-05-13
292,2011_R08_111_112,0,23536,1,2011,44,34,10.0,26.0,62.0,34.0,28.0,North Melbourne,Melbourne,1.81,1.95,2011-05-14
293,2011_R08_101_108,0,36056,1,2011,36,12,0.0,0.0,0.0,0.0,0.0,Adelaide,Gold Coast,1.14,5.65,2011-05-14
294,2011_R08_113_116,0,20719,1,2011,52,40,38.0,55.0,11.0,68.0,31.0,Sydney,Port Adelaide,1.12,6.12,2011-05-14
295,2011_R08_110_115,0,42453,1,2011,50,62,0.0,-25.0,54.0,-30.0,-17.0,Hawthorn,St Kilda,1.42,2.82,2011-05-15
296,2011_R08_114_118,0,39141,1,2011,56,24,72.0,68.0,47.0,0.0,32.0,Western Bulldogs,Richmond,1.66,2.18,2011-05-15
297,2011_R08_106_117,0,40567,1,2011,16,52,-75.0,-38.0,-5.0,-13.0,-33.0,West Coast,Fremantle,1.96,1.8,2011-05-15
298,2011_R09_103_107,0,48429,0,2011,44,68,-42.0,36.0,35.0,-56.0,-78.0,Carlton,Geelong,2.74,1.44,2011-05-20
299,2011_R09_111_115,0,28863,1,2011,62,34,35.0,47.0,37.0,79.0,31.0,St Kilda,Melbourne,1.4,2.9,2011-05-21
300,2011_R09_106_113,0,16274,0,2011,40,52,-57.0,-42.0,24.0,-28.0,28.0,Port Adelaide,Fremantle,2.39,1.56,2011-05-21
301,2011_R09_105_114,0,83563,1,2011,24,28,-35.0,5.0,-40.0,4.0,38.0,Richmond,Essendon,2.73,1.44,2011-05-21
302,2011_R09_101_104,0,38849,1,2011,70,36,3.0,5.0,21.0,-4.0,31.0,Collingwood,Adelaide,1.05,9.88,2011-05-22
303,2011_R09_110_116,0,33136,0,2011,52,50,44.0,-2.0,-11.0,38.0,-31.0,Sydney,Hawthorn,1.74,2.05,2011-05-22
304,2011_R09_117_118,0,37308,1,2011,16,56,-60.0,5.0,33.0,-60.0,87.0,West Coast,Western Bulldogs,1.67,2.15,2011-05-22
305,2011_R10_103_111,0,47464,0,2011,34,44,-41.0,-57.0,-33.0,31.0,23.0,Melbourne,Carlton,5.64,1.14,2011-05-27
306,2011_R10_106_115,0,35483,0,2011,52,62,-18.0,-15.0,-83.0,-43.0,-8.0,Fremantle,St Kilda,1.58,2.35,2011-05-28
307,2011_R10_112_116,0,24267,0,2011,44,52,-30.0,-40.0,-15.0,-35.0,0.0,North Melbourne,Sydney,2.02,1.76,2011-05-28
308,2011_R10_107_108,0,21485,0,2011,12,68,0.0,0.0,0.0,0.0,0.0,Gold Coast,Geelong,12.5,1.03,2011-05-28
309,2011_R10_113_114,0,11506,0,2011,24,40,-10.0,47.0,-3.0,4.0,-55.0,Richmond,Port Adelaide,1.24,4.06,2011-05-28
310,2011_R10_104_117,0,52560,1,2011,70,16,83.0,22.0,100.0,19.0,-12.0,Collingwood,West Coast,1.22,4.24,2011-05-29
311,2011_R10_110_118,0,30747,0,2011,56,50,-3.0,16.0,88.0,-51.0,32.0,Western Bulldogs,Hawthorn,3.37,1.32,2011-05-29
312,2011_R11_105_111,0,53077,0,2011,28,34,-19.0,48.0,16.0,2.0,-36.0,Essendon,Melbourne,1.24,4.02,2011-06-03
313,2011_R11_108_117,0,36815,1,2011,16,12,0.0,0.0,0.0,0.0,0.0,West Coast,Gold Coast,1.05,9.75,2011-06-04
314,2011_R11_107_118,0,25078,1,2011,68,56,101.0,14.0,-14.0,2.0,29.0,Geelong,Western Bulldogs,1.11,6.55,2011-06-04
315,2011_R11_104_115,0,62991,1,2011,70,62,56.0,0.0,48.0,-28.0,-28.0,Collingwood,St Kilda,1.18,4.72,2011-06-04
316,2011_R11_106_110,0,31925,1,2011,50,52,-30.0,116.0,22.0,15.0,-16.0,Hawthorn,Fremantle,1.19,4.59,2011-06-05
317,2011_R11_101_112,0,18185,1,2011,44,36,9.0,-44.0,-33.0,-46.0,-72.0,North Melbourne,Adelaide,1.6,2.29,2011-06-05
318,2011_R11_103_113,0,23192,0,2011,40,44,-26.0,-54.0,-66.0,-12.0,23.0,Port Adelaide,Carlton,4.32,1.21,2011-06-05
319,2011_R12_115_118,0,31237,1,2011,62,56,24.0,3.0,7.0,45.0,28.0,St Kilda,Western Bulldogs,1.4,2.89,2011-06-10
320,2011_R12_101_117,0,31412,0,2011,36,16,22.0,74.0,-50.0,76.0,-21.0,Adelaide,West Coast,2.2,1.64,2011-06-11
321,2011_R12_108_112,0,14945,0,2011,12,44,0.0,0.0,0.0,0.0,0.0,Gold Coast,North Melbourne,3.34,1.32,2011-06-11
322,2011_R12_107_110,0,63476,1,2011,68,50,19.0,2.0,9.0,1.0,8.0,Geelong,Hawthorn,1.44,2.73,2011-06-11
323,2011_R12_114_116,0,23782,1,2011,52,24,-4.0,55.0,55.0,19.0,82.0,Sydney,Richmond,1.25,3.86,2011-06-12
324,2011_R12_105_106,0,35824,1,2011,52,28,44.0,54.0,-38.0,-4.0,63.0,Fremantle,Essendon,1.76,2.01,2011-06-12
325,2011_R12_104_111,0,75998,0,2011,34,70,0.0,-1.0,-66.0,-53.0,-21.0,Melbourne,Collingwood,4.63,1.19,2011-06-13
326,2011_R13_101_118,0,19363,1,2011,56,36,8.0,49.0,32.0,-9.0,3.0,Western Bulldogs,Adelaide,1.29,3.48,2011-06-17
327,2011_R13_108_110,0,16377,1,2011,50,12,0.0,0.0,0.0,0.0,0.0,Hawthorn,Gold Coast,1.02,14.67,2011-06-18
328,2011_R13_105_112,0,42329,0,2011,28,44,3.0,-12.0,55.0,-22.0,-7.0,Essendon,North Melbourne,1.65,2.18,2011-06-18
329,2011_R13_107_115,0,39539,0,2011,62,68,-1.0,4.0,24.0,-12.0,6.0,St Kilda,Geelong,3.65,1.27,2011-06-18
330,2011_R13_106_111,0,19092,1,2011,34,52,-11.0,63.0,-46.0,6.0,-59.0,Melbourne,Fremantle,1.73,2.06,2011-06-19
331,2011_R13_103_116,0,42788,1,2011,44,52,16.0,-5.0,-39.0,61.0,-17.0,Carlton,Sydney,1.28,3.59,2011-06-19
332,2011_R13_113_117,0,35059,1,2011,16,40,18.0,-1.0,-3.0,-36.0,50.0,West Coast,Port Adelaide,1.07,8.45,2011-06-19
333,2011_R14_105_110,0,64537,1,2011,50,28,16.0,-43.0,-17.0,-44.0,51.0,Hawthorn,Essendon,1.61,2.28,2011-06-24
334,2011_R14_111_114,0,61900,0,2011,24,34,-29.0,-55.0,4.0,-8.0,80.0,Richmond,Melbourne,1.95,1.81,2011-06-25
335,2011_R14_108_118,0,16149,0,2011,12,56,-71.0,0.0,0.0,0.0,0.0,Gold Coast,Western Bulldogs,5.24,1.15,2011-06-25
336,2011_R14_104_116,0,38053,0,2011,52,70,-25.0,-41.0,-23.0,-45.0,-29.0,Sydney,Collingwood,5.46,1.15,2011-06-25
337,2011_R14_101_107,0,23246,1,2011,68,36,-11.0,2.0,48.0,68.0,33.0,Geelong,Adelaide,1.06,8.92,2011-06-26
338,2011_R14_103_117,0,38241,0,2011,44,16,26.0,29.0,41.0,37.0,-61.0,Carlton,West Coast,1.22,4.19,2011-06-26
339,2011_R14_112_113,0,17275,0,2011,40,44,-60.0,-36.0,14.0,-4.0,-5.0,Port Adelaide,North Melbourne,2.59,1.48,2011-06-26
340,2011_R15_111_118,0,29516,1,2011,56,34,4.0,7.0,31.0,95.0,-42.0,Western Bulldogs,Melbourne,2.01,1.75,2011-07-01
341,2011_R15_106_108,0,28646,1,2011,52,12,0.0,0.0,0.0,0.0,0.0,Fremantle,Gold Coast,1.1,6.56,2011-07-02
342,2011_R15_103_114,0,59650,0,2011,24,44,-20.0,-89.0,-56.0,-20.0,-83.0,Richmond,Carlton,3.85,1.25,2011-07-02
343,2011_R15_101_116,0,23063,1,2011,36,52,-43.0,16.0,24.0,17.0,39.0,Adelaide,Sydney,2.78,1.42,2011-07-02
344,2011_R15_105_107,0,43806,1,2011,28,68,-71.0,-31.0,-64.0,-99.0,-50.0,Essendon,Geelong,7.76,1.08,2011-07-02
345,2011_R15_104_110,0,83985,1,2011,70,50,-3.0,64.0,-45.0,-54.0,-65.0,Collingwood,Hawthorn,1.3,3.49,2011-07-03
346,2011_R15_112_115,0,29693,0,2011,44,62,-52.0,-104.0,5.0,-46.0,-15.0,North Melbourne,St Kilda,1.97,1.79,2011-07-03
347,2011_R16_107_117,0,40164,1,2011,16,68,-44.0,-24.0,-22.0,-99.0,-135.0,West Coast,Geelong,2.25,1.62,2011-07-08
348,2011_R16_108_116,0,16488,0,2011,12,52,0.0,0.0,0.0,0.0,0.0,Gold Coast,Sydney,5.7,1.13,2011-07-09
349,2011_R16_105_114,0,55442,1,2011,28,24,-16.0,35.0,-5.0,40.0,-4.0,Essendon,Richmond,1.51,2.51,2011-07-09
350,2011_R16_104_112,0,53601,1,2011,70,44,87.0,66.0,52.0,-18.0,-7.0,Collingwood,North Melbourne,1.07,8.28,2011-07-10
351,2011_R16_113_115,0,16887,0,2011,40,62,-94.0,10.0,-66.0,-8.0,21.0,Port Adelaide,St Kilda,3.63,1.27,2011-07-10
352,2011_R16_103_118,0,38582,1,2011,56,44,68.0,-43.0,-28.0,-10.0,30.0,Western Bulldogs,Carlton,3.35,1.31,2011-07-10
353,2011_R17_101_105,0,38118,0,2011,36,28,84.0,96.0,16.0,56.0,5.0,Adelaide,Essendon,2.05,1.72,2011-07-15
354,2011_R17_103_104,0,85936,0,2011,44,70,-28.0,-48.0,-53.0,-54.0,51.0,Carlton,Collingwood,5.16,1.16,2011-07-16
355,2011_R17_108_114,0,10832,0,2011,24,12,0.0,0.0,0.0,0.0,0.0,Richmond,Gold Coast,1.13,5.85,2011-07-16
356,2011_R17_115_117,0,31416,1,2011,62,16,35.0,20.0,97.0,-17.0,-8.0,St Kilda,West Coast,1.76,2.01,2011-07-16
357,2011_R17_111_113,0,7255,1,2011,34,40,-29.0,1.0,11.0,-57.0,-78.0,Melbourne,Port Adelaide,1.27,3.65,2011-07-16
358,2011_R17_106_116,0,23415,0,2011,52,52,9.0,-37.0,-21.0,4.0,28.0,Sydney,Fremantle,1.28,3.61,2011-07-17
359,2011_R17_112_118,0,22754,1,2011,44,56,-71.0,-70.0,-22.0,-15.0,20.0,North Melbourne,Western Bulldogs,3.04,1.37,2011-07-17
360,2011_R18_101_115,0,26546,1,2011,62,36,-19.0,-28.0,47.0,57.0,32.0,St Kilda,Adelaide,1.13,6.03,2011-07-22
361,2011_R18_116_118,0,19449,1,2011,52,56,8.0,-5.0,44.0,-38.0,-40.0,Sydney,Western Bulldogs,1.51,2.54,2011-07-23
362,2011_R18_103_105,0,74123,0,2011,28,44,0.0,-76.0,20.0,69.0,4.0,Essendon,Carlton,2.87,1.41,2011-07-23
